CallNo,RptNo,PRA,Beat,OffId,FromDateTime,ToDateTime,NatCall,Title,Location,AptNo,RunDate,RunDataBeginDate,RunDataEndDate,lon,lat,address
122470290,120052256,354,380,1441,9/2/2012 22:30,9/3/2012 7:30,BURAPT,BURGLARY--APARTMENT,1719 SHADY GLEN DR,1206,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.1373949,32.6897959,"1719 shady glen drive, arlington, tx 76015, usa"
122480638,120052496,376,480,2573,9/4/2012 4:30,9/4/2012 13:30,BURAPT,BURGLARY--APARTMENT,2500 PARK VILLAGE DR,608,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.0659551,32.7039889,"2500 park village drive, arlington, tx 76014, usa"
122480915,120052553,62,220,2541,9/4/2012 8:30,9/4/2012 18:00,BURAPT,BURGLARY--APARTMENT,2902 FOREST POINT DR,2703,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.0630686,32.788233,"2902 forest point drive, arlington, tx 76006, usa"
122540779,120053798,376,480,1693,9/10/2012 17:32,,BURAPT,BURGLARY--APARTMENT,2401 SEASONS RD,4103,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.0650686,32.7028579,"2401 seasons road, arlington, tx 76014, usa"
122540941,120053841,63,220,2180,9/10/2012 11:00,9/10/2012 21:23,BURAPT,BURGLARY--APARTMENT,900 MILL CROSSING PL,152,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.096506,32.7799479,"900 mill crossing place, arlington, tx 76006, usa"
122640365,120055703,133,330,1736,9/18/2012 10:19,9/20/2012 10:54,BURAPT,BURGLARY--APARTMENT,408 N FIELDER RD,136,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.132448,32.739725,"408 north fielder road, arlington, tx 76012, usa"
122650866,120055983,241,360,2747,9/21/2012 20:07,,BURAPT,BURGLARY--APARTMENT,821 SHADY POINT DR,44,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.1152047,32.7114332,"821 shady point drive, arlington, tx 76013, usa"
122040851,120043285,12,210,2220,7/20/2012 11:30,7/22/2012 20:38,BURAPT,BURGLARY--APARTMENT,2821 TRINITY OAKS DR,147,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.0992488,32.7858074,"2821 trinity oaks drive, arlington, tx 76006, usa"
122050914,120043510,273,480,2752,7/18/2012 17:00,7/23/2012 17:00,BURAPT,BURGLARY--APARTMENT,2001 E ARKANSAS LN,102,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.0765075,32.7060673,"2001 east arkansas lane, arlington, tx 76014, usa"
122070107,120043720,273,480,2752,7/24/2012 18:00,7/25/2012 1:54,BURAPT,BURGLARY--APARTMENT,2103 MARIPOSA LN,114,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.0738766,32.711208,"2103 mariposa lane, arlington, tx 76010, usa"
